GEOID,NAME,B03002_001E,B03002_012E,B03002_004E,pct_hisp,pct_aa
08013060700,"Census Tract 607, Boulder County, Colorado",3067,167,0,0.054450603195304856,0
08013060800,"Census Tract 608, Boulder County, Colorado",8233,2238,71,0.27183286772743837,0.00862383092432892
08013060900,"Census Tract 609, Boulder County, Colorado",4614,482,17,0.10446467273515388,0.003684438664932813
08013061300,"Census Tract 613, Boulder County, Colorado",3281,148,13,0.045108198719902466,0.003962206644315757
08013061400,"Census Tract 614, Boulder County, Colorado",4017,325,50,0.08090614886731391,0.012447099825740602
08014030000,"Census Tract 300, Broomfield County, Colorado",3756,955,11,0.2542598509052183,0.0029286474973375934
08014030100,"Census Tract 301, Broomfield County, Colorado",2346,311,6,0.13256606990622335,0.0025575447570332483
08014030200,"Census Tract 302, Broomfield County, Colorado",1967,129,46,0.06558210472801221,0.02338586680223691
08014030300,"Census Tract 303, Broomfield County, Colorado",3727,386,87,0.10356855379661926,0.02334317145156963
08014030400,"Census Tract 304, Broomfield County, Colorado",3841,356,9,0.09268419682374382,0.002343139807341838
08014030500,"Census Tract 305, Broomfield County, Colorado",5860,268,85,0.04573378839590444,0.014505119453924915
08014030600,"Census Tract 306, Broomfield County, Colorado",6232,1714,9,0.2750320924261874,0.0014441591784338896
08014030700,"Census Tract 307, Broomfield County, Colorado",2951,493,10,0.16706201287699085,0.003388681802778719
08014030800,"Census Tract 308, Broomfield County, Colorado",5782,760,12,0.13144240747146316,0.0020754064337599448
08014030900,"Census Tract 309, Broomfield County, Colorado",5809,475,82,0.0817696677569289,0.014116026854880358
08014031000,"Census Tract 310, Broomfield County, Colorado",5903,597,134,0.10113501609351178,0.022700321870235473
08014031100,"Census Tract 311, Broomfield County, Colorado",5496,757,124,0.13773653566229985,0.022561863173216887
08014031200,"Census Tract 312, Broomfield County, Colorado",4434,355,39,0.08006314839873703,0.008795669824086604
08014031300,"Census Tract 313, Broomfield County, Colorado",2791,157,27,0.056252239340738086,0.009673951988534575
08014031400,"Census Tract 314, Broomfield County, Colorado",5225,356,54,0.06813397129186603,0.010334928229665072
08014980100,"Census Tract 9801, Broomfield County, Colorado",0,0,0,NaN,NaN
08014980200,"Census Tract 9802, Broomfield County, Colorado",0,0,0,NaN,NaN
08014980300,"Census Tract 9803, Broomfield County, Colorado",0,0,0,NaN,NaN
08015000100,"Census Tract 1, Chaffee County, Colorado",2864,625,0,0.21822625698324022,0
08015000200,"Census Tract 2, Chaffee County, Colorado",4188,484,11,0.11556829035339064,0.0026265520534861507
08015000300,"Census Tract 3, Chaffee County, Colorado",3213,175,0,0.054466230936819175,0
08015000401,"Census Tract 4.01, Chaffee County, Colorado",4733,147,0,0.03105852524825692,0
08015000402,"Census Tract 4.02, Chaffee County, Colorado",4166,504,355,0.12097935669707154,0.08521363418146903
08017960600,"Census Tract 9606, Cheyenne County, Colorado",2039,347,2,0.17018146150073565,9.80872976949485e-4
08019014700,"Census Tract 147, Clear Creek County, Colorado",5114,167,41,0.032655455612045366,0.008017207665232694
08019014800,"Census Tract 148, Clear Creek County, Colorado",1667,104,48,0.0623875224955009,0.028794241151769647
08019014900,"Census Tract 149, Clear Creek County, Colorado",2598,347,14,0.13356428021555042,0.005388760585065435
08021974800,"Census Tract 9748, Conejos County, Colorado",3735,2476,34,0.6629183400267737,0.009103078982597055
08021974900,"Census Tract 9749, Conejos County, Colorado",4407,1839,2,0.4172906739278421,4.538234626730202e-4
08023972600,"Census Tract 9726, Costilla County, Colorado",2136,1043,0,0.48829588014981273,0
08023972700,"Census Tract 9727, Costilla County, Colorado",1551,1264,17,0.8149580915538363,0.01096067053513862
08025969600,"Census Tract 9696, Crowley County, Colorado",5630,1747,206,0.3103019538188277,0.036589698046181174
08027970100,"Census Tract 9701, Custer County, Colorado",4640,444,119,0.09568965517241379,0.02564655172413793
08029964600,"Census Tract 9646, Delta County, Colorado",3527,169,0,0.047916075985256594,0
08029964700,"Census Tract 9647, Delta County, Colorado",3815,544,0,0.14259501965923985,0
08029964800,"Census Tract 9648, Delta County, Colorado",4000,860,124,0.215,0.031
08029964900,"Census Tract 9649, Delta County, Colorado",5683,1325,11,0.2331515044870667,0.0019355973957416858
08029965000,"Census Tract 9650, Delta County, Colorado",4707,546,0,0.1159974506054812,0
08029965100,"Census Tract 9651, Delta County, Colorado",4222,918,16,0.21743249644718143,0.0037896731406916154
08029965200,"Census Tract 9652, Delta County, Colorado",4392,233,6,0.053051001821493624,0.001366120218579235
08031000102,"Census Tract 1.02, Denver County, Colorado",3402,722,62,0.21222810111699,0.018224573780129337
08031000201,"Census Tract 2.01, Denver County, Colorado",3850,2092,35,0.5433766233766234,0.00909090909090909
08031000202,"Census Tract 2.02, Denver County, Colorado",3991,1814,144,0.45452267602104734,0.03608118266098722
